ID,Do you like cats?,Do you like dogs?,"If you were stranded on a desert island, what is the one item you want to have with you?","If you were to create a slogan for your life, what would the slogan be? (Examples: ""Eat, drink, and be merry, for tomorrow, we all die."" ""Bite off more than you can chew."" ""There are far better things ahead than any we leave behind."")",What is your favorite day of the week?,"Are you a lark, an owl, or a hummingbird?",What is your favorite food?,What is your favorite drink?,What is your favorite season?,What is your favorite Month?,What is one hobby that you enjoy?,What is your degree program?,What is your primary specialization?,What is your primary statistical software?,"What is your level of R experience (1=None, 5=Advanced)?",How comfortable are you with coding?,How long have you been coding (in years or months)?,What are three things you hope to learn in this course?,"What is your major public health area of interest (e.g. cancer, heart disease, maternal child health, disparities, etc.)?",What is your favorite number?,What is your birth day (e.g. October 28-report 28)?,What is your birth month (e.g. October 28-report 10)?,What is your home country?,What is your home state?,What is your home city?,What is your highest education level?
1,No,Ambivalent,My phone,The future is greater ,Sunday,Hummingbird (I am neither a lark nor an owl),Chicken Caesar salad,Hot chocolate,Spring,December,Dancing,MPH only,Epidemiology/Biostatistics,R,3,3,0-3 months,"Coding, SEM, tests for statistical inference ",Child health,10,5,10,Nigeria ,Lagos ,Festac,Bachelor's degree
2,Ambivalent,Yes,my guitar,Laugh constantly...let everyone else take everything seriously,Saturday,Owl (I am a night person),Lou Malnati's Pizza,Macallan 18 yr Scotch,Fall,March,Playing the guitar,MPH only,Epidemiology/Biostatistics,R,3,3,7-9 months,"how to tighten up my coding...my code can be monstrous, learn more about working with non-parametric data, find a better way to calculate descriptives for epidemiology (used epiR this summer...not crazy about it).",Infectious diseases,4,18,2,USA,Missouri,St. Louis,Doctoral degree
3,No,Yes,Sweet Tea,Wash your hands ,Saturday,Owl (I am a night person),Pasta,Sweet Tea,Summer,July,Water Skiing,MPH only,Generalist,R,3,3,9 months to 1 year,I hope to learn more coding techniques in R and how to use statistical analyses in the real world. ,"Emergency preparedness, environmental health, etc.",13,13,2,USA,Missouri,Saint Charles,Bachelor's degree
4,No,Yes,A phone,Never believe a prediction that does not empower you. With a right mindset you are unstoppable.,Friday,Lark ( I am a morning person),Banana,,Summer,January,Soccer,MPH only,Epidemiology/Biostatistics,Stata,1,5,>2 years,Conduct data management and analysis in R,Child mental health,5,11,1,Uganda,Masaka,Masaka,Bachelor's degree
5,Yes,Yes,Water,Go with the flow and enjoy life,Saturday,Hummingbird (I am neither a lark nor an owl),Pizza,Lemonade,Summer,July,Riding fourwheelers,MPH only,Epidemiology/Biostatistics,R,3,3,9 months to 1 year,"Refine my skills in coding, learn advanced data analytic techniques, and review statistical methods.",Mental health,5,8,6,United States of America,Illinois,Manito,Bachelor's degree
6,Yes,Ambivalent,Boat,Does this or will this bring you joy?,Sunday,Hummingbird (I am neither a lark nor an owl),soups,water,Fall,November,Crochet/Knitting,MPH only,Epidemiology/Biostatistics,SPSS,1,2,9 months to 1 year,How to go from uncomfortable to comfortable with data coding,"cancer, chronic disease",33,23,11,United States,Ohio,Cleveland,Bachelor's degree
7,Yes,Yes,pillow,,Thursday,Lark ( I am a morning person),sushi,green tea,Fall,June,running,MPH only,Epidemiology/Biostatistics,R,3,3,9 months to 1 year,"selecting appropriate tests, data interpretation, data visualization",chronic diseases,7,28,6,United States,Mississippi,Oxford,Bachelor's degree
8,Yes,Yes,A great book to read,Say what you mean and mean what you say!,Friday,Lark ( I am a morning person),Salmon,Kombucha,Summer,October,thrifting second hand clothing,MPH only,Epidemiology/Biostatistics,SPSS,3,3,9 months to 1 year,"How to be more proficient in R, how to analyze data quicker and more comfortably, and how to interpret data better",disparities,7,7,10,United States,Florida,Miami,Bachelor's degree
9,Ambivalent,Yes,A knife,Be a kind human,Saturday,Lark ( I am a morning person),BBQ pork buns,Root beer,Winter,December,Playing the guitar,MPH only,Epidemiology/Biostatistics,SPSS,2,3,0-3 months,Improve R skills and coding skills,Infectious diseases,26,15,12,United States ,California,San Leandro,Bachelor's degree
10,Yes,Yes,Downloaded Wikipedia,Create more than you consume,Sunday,Lark ( I am a morning person),Dark chocolate,Iced coffee,Fall,October,Music making,MPH only,Epidemiology/Biostatistics,SPSS,2,2,4-6 months,"More comfort with R, better thinking and processing, more exposure with real-world data",Cancer/environment,6,27,9,United States,Missouri,St. Louis,Bachelor's degree
